iter	Passed	Remaining
0	6	1905
1	11	1749
2	17	1714
3	23	1725
4	28	1682
5	33	1651
6	39	1648
7	44	1636
8	50	1635
9	55	1620
10	61	1611
11	67	1612
12	73	1621
13	79	1619
14	83	1595
15	87	1561
16	92	1534
17	96	1511
18	101	1499
19	105	1482
20	110	1462
21	115	1454
22	120	1448
23	125	1440
24	130	1431
25	134	1422
26	139	1415
27	144	1405
28	149	1392
29	153	1383
30	158	1374
31	163	1365
32	167	1357
33	172	1350
34	177	1340
35	181	1334
36	187	1330
37	191	1318
38	195	1311
39	201	1308
40	206	1302
41	210	1294
42	215	1289
43	220	1282
44	225	1276
45	230	1272
46	235	1267
47	240	1261
48	244	1253
49	249	1248
50	254	1243
51	259	1236
52	263	1229
53	268	1222
54	273	1217
55	277	1209
56	282	1204
57	287	1198
58	291	1190
59	296	1185
60	301	1179
61	305	1172
62	310	1167
63	314	1161
64	319	1155
65	324	1150
66	329	1145
67	333	1139
68	338	1133
69	343	1128
70	348	1124
71	352	1117
72	357	1112
73	362	1107
74	366	1100
75	371	1095
76	376	1090
77	382	1087
78	386	1081
79	391	1076
80	396	1071
81	400	1064
82	405	1060
83	411	1056
84	415	1051
85	420	1045
86	424	1040
87	429	1035
88	434	1029
89	439	1026
90	445	1022
91	450	1018
92	454	1012
93	459	1007
94	464	1002
95	469	996
96	473	991
97	478	986
98	483	981
99	488	976
100	493	971
101	497	966
102	502	960
103	507	955
104	511	950
105	516	945
106	521	940
107	525	934
108	530	929
109	535	924
110	539	919
111	544	914
112	549	908
113	553	903
114	558	898
115	562	892
116	567	887
117	572	882
118	576	877
119	581	872
120	586	867
121	590	861
122	595	856
123	600	852
124	605	847
125	609	842
126	614	837
127	619	832
128	623	826
129	628	821
130	633	817
131	638	812
132	642	807
133	647	802
134	651	796
135	656	791
136	661	786
137	665	781
138	669	775
139	674	770
140	678	765
141	683	760
142	688	755
143	692	750
144	697	745
145	702	740
146	706	735
147	711	730
148	716	725
149	721	721
150	725	715
151	730	711
152	735	706
153	740	702
154	745	697
155	750	692
156	755	687
157	759	682
158	764	677
159	769	673
160	773	667
161	778	662
162	782	657
163	786	652
164	791	647
165	796	642
166	800	637
167	805	632
168	810	628
169	814	623
170	819	618
171	824	613
172	829	608
173	833	603
174	838	599
175	843	594
176	849	589
177	854	585
178	858	580
179	864	576
180	869	571
181	873	566
182	878	561
183	883	556
184	887	551
185	892	547
186	897	542
187	901	537
188	906	532
189	912	528
190	917	523
191	921	518
192	926	513
193	936	511
194	945	508
195	953	506
196	959	501
197	967	498
198	972	493
199	978	489
200	982	484
201	987	479
202	992	474
203	996	468
204	1000	463
205	1005	458
206	1010	453
207	1015	448
208	1020	444
209	1024	439
210	1029	434
211	1034	429
212	1039	424
213	1043	419
214	1048	414
215	1053	409
216	1057	404
217	1062	399
218	1067	394
219	1071	389
220	1075	384
221	1080	379
222	1084	374
223	1089	369
224	1094	364
225	1098	359
226	1103	354
227	1108	349
228	1113	345
229	1117	340
230	1122	335
231	1127	330
232	1132	325
233	1137	320
234	1142	315
235	1146	310
236	1151	306
237	1156	301
238	1160	296
239	1165	291
240	1169	286
241	1174	281
242	1178	276
243	1183	271
244	1188	266
245	1192	261
246	1196	256
247	1201	251
248	1205	246
249	1210	242
250	1214	237
251	1219	232
252	1223	227
253	1228	222
254	1233	217
255	1238	212
256	1243	208
257	1248	203
258	1253	198
259	1257	193
260	1262	188
261	1266	183
262	1271	178
263	1276	174
264	1280	169
265	1285	164
266	1290	159
267	1294	154
268	1299	149
269	1304	144
270	1309	140
271	1314	135
272	1319	130
273	1324	125
274	1328	120
275	1333	115
276	1338	111
277	1343	106
278	1347	101
279	1352	96
280	1356	91
281	1361	86
282	1365	82
283	1370	77
284	1374	72
285	1379	67
286	1384	62
287	1388	57
288	1393	53
289	1397	48
290	1403	43
291	1408	38
292	1413	33
293	1418	28
294	1422	24
295	1426	19
296	1431	14
297	1437	9
298	1442	4
299	1446	0
